"id","nom","visuel","raison_sociale","adresse1","adresse2","adresse3","code_postal","ville","latitude","longitude","SIRET","APE","RCS","agence_CTRB","licence_agrement","tel_fixe","tel_mobile","fax","email","site_web","resa_directe","type_hotel","categorie","nb_chambre_pref","nb_chambre_dispo_location","nb_chambre","nb_chambre_familiales","nb_suites","nb_chambre_pers_mobilite_reduite","nb_salle_reunion","label","chaine","description","ouverture","langue","animaux_acceptes","resa_derniere_minute","parking_autocars","groupes_acceptes","groupe_nb_mini","groupe_nb_maxi","gratuite_groupes","commissionnement_agence_voyages","mode_paiement","confort","equipement","service","activites","description_animations","tarif_mini_chambre_double_hors_petit_dej","tarif_maxi_chambre_double_hors_petit_dej","tarif_mini_chambre_familiale","tarif_maxi_chambre_familiale","tarif_mini_suite","tarif_maxi_suite","tarif_mini_petit_dej","tarif_maxi_petit_dej","tarif_mini_demi_pension","tarif_maxi_demi_pension","tarif_mini_VRP_diner_petit_dej","tarif_maxi_VRP_diner_petit_dej","tarif_mini_groupe_chambre_double_petit_dej","tarif_maxi_groupe_chambre_double_petit_dej","tarif_mini_groupe_demi_pension","tarif_maxi_groupe_demi_pension"
"11","Auberge du Plain Joly","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146242.jpg","Auberge du Plain Joly","Le Plain Joly",,,"71300","Gourdon","46,6414524","4,4473281","41424244600014","551A",,,,"03 85 57 24 74",,"03 85 58 29 34","mailto: auberge.plainjoly@wanadoo.fr","http://www.auberge-plain-joly.com",,"Hôtels - restaurant","Sans étoile","8.0","8.0","8",,,,,,,"Maison isolée dans la campagne, sur la départementale 980 qui mène au village de Gourdon.","Fermé du 01/08/2011 au 15/08/2011 et du 24/10/2011 au 31/10/2011 et le vendredi soir et le dimanche soir.","Anglais","Oui",,,,,,,,,"Télévision","Bar, Jardin, Parking privé, Restaurant",,"Tennis",,"52.0","58.0","0","0",,,"6.5","6.5","68.0","70.0","68.0","70.0",,,,
"12","Auberge du Vieux Moulin",,"Auberge du Vieux Moulin","151, rue du Creusot",,,"71670","Le Breuil","46,7947013","4,483891",,,,,,"09 60 18 24 07",,,"mailto: aubergevieuxmoulin@orange.fr",,,"Hôtels - restaurant","2 étoiles (nouveau classement), 2 étoiles (hôtel)","9.0","9.0","9",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"13","B&B Chalon-sur-Saône Sud","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146370.jpg","B&B Chalon-sur-Saône Sud","Rue Charles Dodille",,,"71100","Saint-Rémy","46,7612149","4,8405158","34791169500026","551C",,,,"08 92 70 75 19",,"03 85 48 98 05",,"http://www.hotelbb.com",,"Hôtels","Sans étoile","71.0","70.0","70","5.0",,"3.0",,,"B&B","Nouvelle hôtellerie de confort. Chambres 1, 2 et 3 personnes avec télévision, wc/douche privés, canal +, canal satellite, wifi, climatisation. Ouvert 24h/24. Accueil personnalisé de 6h30 à 21h. Distributeur automatique de chambres.","Ouvert toute l'année.","Anglais, Espagnol","Oui",,"Oui","Oui",,,,,"Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision, Wifi","Ascenseur, Parking privé",,,,"45.0","48.0","0","71",,,"6.1",,,,,,,,,
"14","B&B Hôtel","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146396.jpg","B&B Hôtel",,"ZAC du Champ Bossu",,"71600","Paray-le-Monial","46,4687242","4,1196156","47989034500016","551C",,,,"08 92 70 75 71",,"03 85 81 59 72","mailto: bb_4708@hotelbb.com","http://www.hotelbb.com",,"Hôtels","Sans étoile","70.0","70.0","70","8.0",,"3.0",,,"B&B","Hôtel de confort. Chambres 1, 2, 3 ou 4 personnes. Chambres pour personnes à mobilité réduite. Parking fermé et gratuit. Wifi. Climatisation. Restauration à proximité. Distributeur automatique de chambres 24h/24.","Ouvert toute l'année.","Anglais","Oui","Oui","Oui","Oui","15.",,"Une gratuité à partir de 20 personnes.",,"Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision, Wifi","Ascenseur, Parking privé",,,,"41.6","48.9","53","58",,,"6.1","6.1",,,,,"23.0","32.0",,
"15","Best Western Hôtel d'Europe et d'Angleterre","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146260.jpg","Best Western Hôtel d'Europe et d'Angleterre","109, quai Jean Jaurès",,,"71000","Mâcon","46,3084602","4,8371202","34825427700026","7600",,,,"03 85 38 27 94",,"03 85 39 22 54","mailto: info@hotel-europeangleterre-macon.com","http://www.hotel-europeangleterre-macon.com",,"Hôtels","2 étoiles (hôtel), 2 étoiles (nouveau classement)","29.0","32.0","29",,,"2.0",,"Hôtel de caractère","Best Western","Hôtel de caractère (XVIIIème siècle) entièrement rénové. Vue sur la Saône. Grandes chambres familiales 4 à 5 personnes. Chambres insonorisées. Demi-pension possible pour groupes. Garage fermé.","Fermeture exceptionnelle pour travaux. Réouverture en mai 2013. Réservation possible dès maintenant.","Anglais, Italien","Oui","Oui","Oui","Oui",,,,"Oui",,"Accès Internet, Télévision, Wifi, Câble/ satellite, Climatisation, Canal +","Ascenseur, Bar, Local matériel fermé, Parking privé","Location ou prêt de vélos/VTT, Coffres clients",,,"60.0","130.","0","0",,,"12.0","15.0",,,,,,,,
"16","Best Western Hôtel de la Petite Verrerie","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146320.jpg","Best Western Hôtel de la Petite Verrerie","4, rue Jules Guesde",,,"71200","Le Creusot","46,806201","4,423896","42124700800012","551A","B421247008",,,"03 85 73 97 97",,"03 85 73 97 90","mailto: commercial@hotelfp-lecreusot.com","http://www.bestwestern.fr",,"Hôtels - restaurant","3 étoiles (nouveau classement), 3 étoiles (hôtel)","43.0","43.0","43",,"6.0","3.0","8.0","Bourgogne Séminaires","Best Western","""Ancienne dépendance du château de la Verrerie. Au cœur de la ville, le """"Best Western Hôtel de La Petite Verrerie"""" vous accueille et met à votre disposition 43 chambres dont 6 suites dans une ambiance cosy donnant pour la plupart """,,"Anglais, Espagnol, Portugais","Oui","Oui",,"Oui","20.","80.0","1 gratuité pour 20 payantes payantes.","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Télévision","Bar, Jardin, Parc, Parking privé, Restaurant","Coffres clients, Service en chambre","Golf, Animation","C’est en partenariat avec le golf du château d'Avoise, un parcours de 18 trous réalisé sur un domaine de 120 hectares, entre bosquets, bouleaux, hêtres majestueux, chênes centenaires et plans d'eau que nous vous ","86.0","129.","92","127","112.","152.","14.5","14.5","102.0","154.5","110.0","110.0","78.0","79.0","109.0","112.0"
"17","Auberge du Camp Romain",,"Auberge du Camp Romain","Le Bourg",,,"71150","Chassey-le-Camp","46,8866241","4,6967089","35057207900019","551A","350572079",,,"03 85 87 09 91",,"03 85 87 11 51","mailto: contact@auberge-du-camp-romain.com","http://www.auberge-du-camp-romain.com","http://hotel.reservit.com/reservit/reserhotel.php?hotelid=2271&lang=FR","Hôtels - restaurant","3 étoiles (nouveau classement), 3 étoiles (hôtel)","41.0","41.0","41","7.0",,"1.0","2.0","Tables et Auberges de France, Logis, Bourgogne Séminaires, Qualité Tourisme","Logis","Spa, massages relaxants, hammam, jacuzzi, au bord d'une grande piscine couverte. Une surprenante halte sur la route des grands crus de Bourgogne, à proximité de Beaune ! Notre auberge à flanc de colline, dans son environnement exceptionnel de bois et de vignobles, propose 41 chambres fraîchement rénovées dans un style contemporain, une cuisine raffinée et des spécialités du terroir, une terrasse panoramique pour les beaux jours, et de nombreuses activités de plein air.","Ouvert toute l'année.","Allemand, Français, Anglais","Oui","Oui","Oui","Oui","15.","60.0",,"Oui","Chèques Vacances","Télévision, Wifi, Câble/ satellite","Ascenseur, Bar, Jardin, Jeux pour enfants, Local matériel fermé, Parking privé, Restaurant, Salle de sport","Coffres clients, Location ou prêt de vélos/VTT, Wifi","Mini-golf, Piscine plein-air, Piscine couverte, Sauna, Tennis, Hammam, Randonnée voie verte, Jacuzzi",,"82.0","98.0","98","127",,,"6.4","12.8","78.0","85.0","95.0","111.0",,,"78.0","120.0"
"18","Château de Besseuil","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/177016.jpg","Château de Besseuil","Route de Rousset",,,"71260","Clessé","46,4183933","4,8193073","48248400300025",,,,,"03 85 36 92 49",,"03 85 36 94 14","mailto: info@chateaudebesseuil.com","http://www.chateaudebesseuil.com","http://hotel.reservit.com/reservit/avail-info.php?hotelid=140212&userid=0264039b5df01b065d68297e024079ca4b35&__utma=1.291877044.1327740244.1327740244.1327740244.1&__utmb=1.1.10.1327740244&__utmc=1&__utmz=1.1327740244.1.1.utmcsr=chateaudebesseuil.com|utmccn=%28referral%29|utmcmd=referral|utmcct=/fr/index.php","Résidence hôtelière, Hôtels - restaurant",,,"14.0","14","4.0","6.0","2.0","2.0","Qualité Tourisme, Bourgogne Séminaires","Châteaux et Hôtels Collection","""Entièrement rénovée dans le respect de son architecture, cette demeure du XVIe siècle ancrée au cœur du vignoble Mâconnais, s’est largement ouverte à l’art et au design d’intérieur.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","Dans le bâtiment principal logent de grandes suites-appartements avec cheminées, certaines disposant d’un jardin ou de plafonds à la française. Chambres aux couleurs toniques et junior suites en duplex occupent les deux autres ailes. Le Chardonnay AOC Viré-Clessé provenant des quatre hectares de vignes du domaine se déguste à l’Œnothèque, tandis que le restaurant gastronomique propose une cuisine du terroir revisitée créative et contemporaine. ""","Fermé du 26/11/2012 au 17/12/2012 et le dimanche et lundi hors saison. Ouvert 7 jours/7 en saison (du 13/04/2013 au 12/10/2013).","Anglais, Allemand, Russe","Non","Oui","Oui","Oui","10.0","50.0",,"Oui","Chèques Vacances","Accès Internet, Télévision, Mini-bar, Canal +, Câble/ satellite","Parking privé, Bar, Jardin, Restaurant","Wifi, Service en chambre, Coffres clients, Location ou prêt de vélos/VTT","Piscine plein-air, Golf, Randonnée voie verte",,"139.0","229.0",,,"479.0","669.0","15.0",,"0",,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20","Comfort Hôtel","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146377.jpg","Comfort Hôtel","Zone Commerciale du Champ Bossu",,,"71600","Paray-le-Monial","46,4666314","4,111373","50960272800040","5510Z","50960272800040",,,"03 85 81 91 71",,"03 85 81 91 70",,,,"Hôtels","3 étoiles","30.0","30.0","30",,"2.0","5.0","1.0",,,"Paray-le-Monial, station touristique réputée, située au sud de la Bourgogne, ","Ouvert toute l'année.","Anglais","Oui",,"Oui","Oui","20.","65.0",,,,"Accès Internet, Câble/ satellite, Canal +, ","Local matériel fermé, Parking privé",,,,"46.0","61.0","51","71","92.0","120.","7.0","7.0",,,,,,,,
"21","Comfort Hôtel Mâcon Sud","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146394.jpg","Comfort Hôtel Mâcon Sud","164, rue de la Bresse","ZAC des Bouchardes",,"71570","Chaintré","46,254288","4,7934123","39391296900051","5510Z","393912969",,,"03 85 23 97 50",,"03 85 37 44 22",,"http://www.comforthotelmacon.com",,"Hôtels - restaurant","2 étoiles (nouveau classement), 2 étoiles (hôtel)","42.0","42.0","42","5.0",,"2.0","1.0","Qualité Tourisme",,"""Virginie et Denis vous accueillent dans leur hôtel Comfort Mâcon Sud au cœur des vignes de la Bourgogne Sud, entre Mâconnais et Beaujolais.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22","Vous pourrez faire une étape culinaire en goûtant les spécialités régionales préparées le soir par notre chef autour d'un buffet fraîcheur et douceur. Un plateau de courtoisie vous attend à votre arrivée dans votre chambre.""","Ouvert toute l'année.","Allemand, Espagnol, Anglais","Oui","Oui","Oui","Oui","10.0","60.0",,"Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Télévision, Wifi","Bar, Parking privé, Restaurant","Wifi",,,"52.0","73.0","80.0","115.0",,,"8.5","8.5","50","55.",,"74.","20.0","35.0","41.0","55.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23","Delfotel","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146272.jpg","Delfotel","Le Pont Guichard",,,"71600","Hautefond","46,4416","4,14082","44271660100020","5510Z","442716601",,,"03 85 81 96 11",,"03 85 81 14 12","mailto: reception.hotel@delfotel.fr","http://www.delfotel.fr","http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=95022421708d22a7a213507971666223000f&hotelid=15443&partid=","Hôtels - restaurant","2 étoiles (nouveau classement), 2 étoiles (hôtel)","32.0","32.0","32","1.0",,"2.0","1.0","Logis, Qualité Tourisme, Tour de Bourgogne à vélo","Logis","Au centre du Charolais, sur la route Suisse-Océan, à mi-chemin entre Mâcon et Moulins. Nous vous accueillons dans un parc de 3 hectares, à 100 mètres du Canal du Centre et de la Voie Verte. Pour une étape d'un soir ou plus, 32 chambres confortables climatisées avec douche, wc, télévision ",,"Anglais","Oui","Oui","Oui","Oui","20.","55.0",,"Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Climatisation, Télévision, Canal +","Bar, Parking privé, Restaurant, Parc, Jeux pour enfants","Location ou prêt de vélos/VTT","Piscine plein-air, Randonnée voie verte",,"49.0","53.0","0","0",,,"7.0",,,,"59.0",,,,,
"24","Etap'Hôtel","http://www.bourgogne-du-sud.com/images/bdd/photos/0/1/146292.jpg","Etap'Hôtel","Parc d'Activité de Mâcon Nord","564, route de Saint-Martin",,"71000","Sennecé-les-Mâcon","46,3658672","4,8419053","44469850001905","551C","444698500",,,"08 92 68 31 92",,"03 85 36 08 14","mailto: h2496@accor.com","http://www.etaphotel.com",,"Hôtels","2 étoiles (hôtel), 2 étoiles (nouveau classement)","56.0","56.0","56",,,"3.0",,"Tourisme et Handicap MOTEUR, Tourisme et Handicap VISUEL","Ibis budget","Accès wifi dans toutes les chambres. Douches et toilettes dans les chambres.","Ouvert toute l'année.","Anglais","Oui",,,"Oui",,,,,"Chèques Vacances","Accès Internet, Canal +, Climatisation, Télévision, Wifi","Parking privé",,,,,,"0","0",,,,,,,,,,,,
"25","Etap'Hôtel","http://www.bourgogne-du-sud.com/images/bdd/photos/0/1/146317.jpg","Etap'Hôtel","Autoroute A39 - Aire du Poulet de Bresse",,,"71480","Dommartin-lès-Cuiseaux","46,4958073","5,3140998","41871569400018","551A",,,,"08 92 68 07 48",,,"mailto: arche.pouletdebresse.au@elior.com",,,"Hôtels - restaurant","Sans étoile","30.0","30.0","30",,,"2.0","1.0",,"Ibis budget",,"Ouvert toute l'année.","Allemand, Anglais, Espagnol, Français","Oui","Oui","Oui","Oui",,"90.0","Selon réservation.","Non","Chèques Vacances","Accès Internet, Canal +, Télévision","Restaurant, Jeux pour enfants","Wifi",,,,,"0","0",,,,,,,,,,,,
"26","Etap Hôtel",,"Etap Hôtel","Rue Jacquard","RN6",,"71000","Mâcon","46,2808032","4,8077067","38784628000023",,"387846280",,,"08 92 68 08 26",,"03 85 29 98 23",,"http://www.etaphotel.com",,"Hôtels - restaurant","2 étoiles (hôtel), 2 étoiles (nouveau classement)","70.0","70.0","70",,,"3.0",,,"Ibis budget","Hôtel rénové, douches et sanitaires dans les chambres. Accès wifi gratuit dans l'hôtel. Bon rapport qualité prix.","Ouvert toute l'année.","Anglais, Allemand, Italien","Oui","Oui","Oui","Oui","10.","25.0",,,"Chèques Vacances","Canal +, Climatisation, Télévision, Accès Internet, Câble/ satellite","Parking privé, Restaurant","Wifi",,,"39.0","52.0","0","0",,,"4.7","4.7",,,,,,,,
"27","Europe Hôtel","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146385.jpg","Europe Hôtel","ZAC de la Chaigne",,,"71580","Beaurepaire-en-Bresse","46,6643678","5,4106348","42890365200017","551C","428903652",,,"03 85 74 31 84",,"03 85 74 31 85","mailto: europehotel.JPE@laposte.net","http://www.a-europehotel.com",,"Hôtels","Sans étoile","28.0","28.0","28",,,"2.0","1.0",,,"Hôtel très accueillant, calme, récent, en pleine nature, à proximité de la sortie n°8 de l'A39. Wifi gratuit.","Ouvert toute l'année.","Anglais, Allemand","Oui",,"Oui","Oui","15.","50.0",,,"Chèques Vacances","Câble/ satellite, Télévision","Jeux pour enfants, Parc, Parking privé",,,,,,"0","0",,,,,,,,,,,,
"28","Fasthotel Mâcon","http://www.bourgogne-du-sud.com/images/bdd/photos/0/1/146343.jpg","Fasthotel Mâcon","73, rue de Barbentane",,,"71000","Sennecé-les-Mâcon","46,3637776","4,8442062","43393196100026","5510z",,,,"03 85 23 98 00",,"03 85 37 55 37","mailto: macon@fasthotel.com","http://fasthotel.com",,"Hôtels - restaurant",,"48.0","44.0","44","4.0",,"2.0",,,"Fastotel","Hôtel confortable et économique.","Ouvert toute l'année de 6h30 à 11h et de 18h à 22h du mardi au vendredi et de 7h30 à 11h et de 18h à 22h le samedi, le dimanche et le lundi.","Anglais","Oui",,"Oui","Oui",,,,"Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision","Parking privé, Restaurant",,,,"41.0","49.0","49","49",,,"6.0","6.0",,,"58.0","58.0","21.0","30.0",,
